Environment,Seed,Noise_Type,Attack_Type,Highest_Score,Best_Epoch,Original_Log_Path
hammer-expert-v0,0,Random,rew,126.4926,60,Full_Scale_Experiments/seed_0_random_rew/hammer-expert-v0/WT_RDT_hammer-expert-v0_rnd_rew_0_20260428225128_8cb17e48-2724-4d16-9a17-00fce18a0f51
hammer-expert-v0,1,Random,rew,127.9071,70,Full_Scale_Experiments/seed_1_random_rew/hammer-expert-v0/WT_RDT_hammer-expert-v0_rnd_rew_1_20260428225129_19bfe697-ff0c-4000-bd68-1f9e7b9e5fd9
hopper-medium-replay-v2,0,Adversarial,act,53.4588,80,Full_Scale_Experiments/seed_0_adversarial_act/hopper-medium-replay-v2/WT_RDT_hopper-medium-replay-v2_adv_act_0_20260429032649_e40930af-5eb0-4f3c-86ff-52d1944b3ac5
hopper-medium-replay-v2,1,Adversarial,act,47.4398,60,Full_Scale_Experiments/seed_1_adversarial_act/hopper-medium-replay-v2/WT_RDT_hopper-medium-replay-v2_adv_act_1_20260429032650_f49dd3a7-311a-4c03-a7ea-c4e128018f2b
hopper-medium-replay-v2,0,Adversarial,obs,54.5221,30,Full_Scale_Experiments/seed_0_adversarial_obs/hopper-medium-replay-v2/WT_RDT_hopper-medium-replay-v2_adv_obs_0_20260429025122_2e29ca2b-2260-4ab2-91ef-4123871567ec
hopper-medium-replay-v2,1,Adversarial,obs,51.4674,30,Full_Scale_Experiments/seed_1_adversarial_obs/hopper-medium-replay-v2/WT_RDT_hopper-medium-replay-v2_adv_obs_1_20260429025123_2e8e46aa-460b-4d1a-83ec-66507ee46995
hopper-medium-replay-v2,0,Adversarial,rew,64.0434,90,Full_Scale_Experiments/seed_0_adversarial_rew/hopper-medium-replay-v2/WT_RDT_hopper-medium-replay-v2_adv_rew_0_20260429035533_ef9e72d6-df08-47af-8de7-c78ed28af2ee
hopper-medium-replay-v2,1,Adversarial,rew,63.7757,40,Full_Scale_Experiments/seed_1_adversarial_rew/hopper-medium-replay-v2/WT_RDT_hopper-medium-replay-v2_adv_rew_1_20260429035534_444c1840-42c5-4f56-a78f-b39591355d7c
hopper-medium-replay-v2,0,Random,act,51.2826,20,Full_Scale_Experiments/seed_0_random_act/hopper-medium-replay-v2/WT_RDT_hopper-medium-replay-v2_rnd_act_0_20260429013809_b6099e57-a9cc-44b1-8e40-c6a12e039be1
hopper-medium-replay-v2,1,Random,act,44.9983,90,Full_Scale_Experiments/seed_1_random_act/hopper-medium-replay-v2/WT_RDT_hopper-medium-replay-v2_rnd_act_1_20260429013810_b7053f36-2ee2-409d-8cf6-617ead934ec8
hopper-medium-replay-v2,0,Random,obs,52.2046,50,Full_Scale_Experiments/seed_0_random_obs/hopper-medium-replay-v2/WT_RDT_hopper-medium-replay-v2_rnd_obs_0_20260429010330_7a0fd7c8-550c-4b5b-9499-d1042c03c79c
hopper-medium-replay-v2,1,Random,obs,52.0019,80,Full_Scale_Experiments/seed_1_random_obs/hopper-medium-replay-v2/WT_RDT_hopper-medium-replay-v2_rnd_obs_1_20260429010331_d619db81-9b88-4622-8382-b30f61f40558
hopper-medium-replay-v2,0,Random,rew,58.4577,90,Full_Scale_Experiments/seed_0_random_rew/hopper-medium-replay-v2/WT_RDT_hopper-medium-replay-v2_rnd_rew_0_20260429020725_5c1ed42d-3395-4b47-9195-5c154337b333
hopper-medium-replay-v2,1,Random,rew,52.2418,70,Full_Scale_Experiments/seed_1_random_rew/hopper-medium-replay-v2/WT_RDT_hopper-medium-replay-v2_rnd_rew_1_20260429020726_08d6bdf6-4a17-4e99-acee-07895add998d
kitchen-complete-v0,0,Adversarial,act,37.5,100,Full_Scale_Experiments/seed_0_adversarial_act/kitchen-complete-v0/WT_RDT_kitchen-complete-v0_adv_act_0_20260429070135_65ba8c3d-df71-445d-98ea-20e2d6281eeb
kitchen-complete-v0,1,Adversarial,act,32.5,90,Full_Scale_Experiments/seed_1_adversarial_act/kitchen-complete-v0/WT_RDT_kitchen-complete-v0_adv_act_1_20260429070136_cf129f68-6a33-47ef-baea-31b78bebc56e
kitchen-complete-v0,0,Adversarial,obs,75.0,20,Full_Scale_Experiments/seed_0_adversarial_obs/kitchen-complete-v0/WT_RDT_kitchen-complete-v0_adv_obs_0_20260429062757_46b5b517-ebf6-4594-8d99-caf4ea366a78
kitchen-complete-v0,1,Adversarial,obs,82.5,40,Full_Scale_Experiments/seed_1_adversarial_obs/kitchen-complete-v0/WT_RDT_kitchen-complete-v0_adv_obs_1_20260429062758_ee2ab102-f30a-4934-a53e-d51904d9f6eb
kitchen-complete-v0,0,Adversarial,rew,100.0,40,Full_Scale_Experiments/seed_0_adversarial_rew/kitchen-complete-v0/WT_RDT_kitchen-complete-v0_adv_rew_0_20260429073649_99dbc511-7d2b-4ce9-89a9-234bca2917ba
